classe,atributo,tipo
Unidade_Uso_Sustentavel,tipoUnidUsoSust,integer
Unid_Protecao_Integral,tipoUnidProtInteg,integer
Descontinuidade_Geom_ADM,motivoDescontinuidade,integer
Descontinuidade_Geom_ASB,motivoDescontinuidade,integer
Descontinuidade_Geom_ECO,motivoDescontinuidade,integer
Descontinuidade_Geom_EDU,motivoDescontinuidade,integer
Descontinuidade_Geom_ENC,motivoDescontinuidade,integer
Descontinuidade_Geom_HID,motivoDescontinuidade,integer
Descontinuidade_Geom_LIM,motivoDescontinuidade,integer
Descontinuidade_Geom_LOC,motivoDescontinuidade,integer
Descontinuidade_Geom_PTO,motivoDescontinuidade,integer
Descontinuidade_Geom_REL,motivoDescontinuidade,integer
Descontinuidade_Geom_SAU,motivoDescontinuidade,integer
Descontinuidade_Geom_TRA,motivoDescontinuidade,integer
Descontinuidade_Geom_VEG,motivoDescontinuidade,integer
Trecho_Massa_Dagua,tipoMassaDagua,integer
Trecho_Massa_Dagua,regime,integer
Trecho_Massa_Dagua,salinidade,integer
Veg_Cultivada,classificacaoPorte,integer
Mangue,classificacaoPorte,integer
Brejo_Pantano,classificacaoPorte,integer
Veg_Restinga,classificacaoPorte,integer
Campinarana,classificacaoPorte,integer
Floresta,classificacaoPorte,integer
Macega_Chavascal,classificacaoPorte,integer
Cerrado_Cerradao,classificacaoPorte,integer
Caatinga,classificacaoPorte,integer
Estepe,classificacaoPorte,integer
Veg_Area_Contato,classificacaoPorte,integer
Veg_Cultivada,denso,integer
Mangue,denso,integer
Brejo_Pantano,denso,integer
Veg_Restinga,denso,integer
Campinarana,denso,integer
Floresta,denso,integer
Macega_Chavascal,denso,integer
Cerrado_Cerradao,denso,integer
Caatinga,denso,integer
Estepe,denso,integer
Veg_Area_Contato,denso,integer
Veg_Cultivada,alturaMediaIndividuos,real
Mangue,alturaMediaIndividuos,real
Brejo_Pantano,alturaMediaIndividuos,real
Veg_Restinga,alturaMediaIndividuos,real
Campinarana,alturaMediaIndividuos,real
Floresta,alturaMediaIndividuos,real
Macega_Chavascal,alturaMediaIndividuos,real
Cerrado_Cerradao,alturaMediaIndividuos,real
Caatinga,alturaMediaIndividuos,real
Estepe,alturaMediaIndividuos,real
Veg_Area_Contato,alturaMediaIndividuos,real
Mangue,antropizada,integer
Brejo_Pantano,antropizada,integer
Veg_Restinga,antropizada,integer
Campinarana,antropizada,integer
Floresta,antropizada,integer
Macega_Chavascal,antropizada,integer
Cerrado_Cerradao,antropizada,integer
Caatinga,antropizada,integer
Estepe,antropizada,integer
Curva_Nivel,cotadaPorProcesso,integer
Curva_Batimetrica,cotadaPorProcesso,integer
Ilha,tipoElemNat,integer
Dolina,tipoElemNat,integer
Duna,tipoElemNat,integer
Gruta_Caverna,tipoElemNat,integer
Pico,tipoElemNat,integer
Rocha,tipoElemNat,integer
Passag_Elevada_Viaduto,modalUso,integer
Ponte,modalUso,integer
Passag_Elevada_Viaduto,largura,real
Ponte,largura,real
Passag_Elevada_Viaduto,nrPistas,integer
Ponte,nrPistas,integer
Passag_Elevada_Viaduto,nrFaixas,integer
Ponte,nrFaixas,integer
Passag_Elevada_Viaduto,posicaoPista,integer
Ponte,posicaoPista,integer
Passag_Elevada_Viaduto,extensao,real
Ponte,extensao,real
Passag_Elevada_Viaduto,vaoLivreHoriz,real
Ponte,vaoLivreHoriz,real
Passag_Elevada_Viaduto,vaoVertical,real
Ponte,vaoVertical,real
